,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
0,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1,Pilaitė,M. Mažvydo g.,350,"10,61",1,33,5,9
2,Žvėrynas,Pieninės g.,499,"12,03",2,41.47,4,4
3,Šnipiškės,Kalvarijų g.,260,"12,38",1,21,4,9
4,Senamiestis,Pranciškonų g.,450,"9,00",2,50,2,4
5,Senamiestis,Sluškų g.,650,"11,09",2,58.6,4,5
6,Šnipiškės,Kalvarijų g.,180,"6,67",1,27,1,9
7,Senamiestis,Pylimo g.,250,"8,33",1,30,3,3
8,Senamiestis,Pylimo g.,200,"6,67",1,30,3,3
9,Baltupiai,Didlaukio g.,350,"10,70",1,32.71,9,9
10,Naujininkai,Telšių g.,550,"8,46",4,65,4,4
11,Naujininkai,Telšių g.,420,"10,00",3,42,2,4
12,Fabijoniškės,Salomėjos Nėries g.,220,"5,79",1,38,2,9
13,Naujamiestis,Algirdo g.,300,"8,57",1,35,5,5
14,Naujoji Vilnia,Gerovės g.,270,"5,40",2,50,1,5
15,Senamiestis,Gedimino pr.,1200,"14,29",2,84,4,5
16,Senamiestis,Žemaitijos g.,400,"20,00",1,20,3,3
17,Šiaurės miestelis,Kalvarijų g.,530,"7,91",3,67,6,7
18,Šnipiškės,Kalvarijų g.,250,"11,36",1,22,2,9
19,Senamiestis,Sodų g.,185,"12,33",1,15,2,3
20,Pašilaičiai,Perkūnkiemio g.,350,"8,54",2,41,5,9
21,Užupis,Krivių g.,350,"7,66",2,45.7,1,7
22,Senamiestis,Plačioji g.,490,"16,90",2,29,3,3
23,Senamiestis,Vingrių g.,750,"18,75",2,40,2,3
24,Naujamiestis,Vilkpėdės g.,340,"6,94",2,49,3,3
25,Viršuliškės,Viršuliškių g.,330,"6,73",2,49,3,12
26,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
27,Žirmūnai,Žirmūnų g.,350,"7,78",2,45,4,5
28,Antakalnis,Antakalnio g.,1700,"11,33",4,150,1,4
29,Senamiestis,K. Kalinausko g.,600,"33,33",1,18,4,6
30,Senamiestis,Trakų g.,500,"5,88",4,85,1,3
31,Baltupiai,Jurgio Lebedžio g.,390,"16,96",1,23,5,5
32,Senamiestis,Pylimo g.,450,"15,00",1,30,1,2
33,Šnipiškės,Linkmenų g.,990,"13,56",3,73,1,5
34,Viršuliškės,Viršilų g.,400,"6,81",2,58.74,18,23
35,Karoliniškės,Sausio 13-osios g.,400,"9,52",1,42,3,7
36,Viršuliškės,Tujų g.,290,"5,92",2,49,2,5
37,Žvėrynas,Birutės g.,2200,"20,24",3,108.69,3,3
38,Užupis,Krivių g.,1200,"10,62",2,113,2,3
39,Antakalnis,Antakalnio g.,120,"4,00",1,30,5,5
40,Pilaitė,Juodkrantės g.,450,"8,04",2,56,4,5
41,Šnipiškės,Linkmenų g.,990,"13,56",3,73,1,5
42,Šnipiškės,Žalgirio g.,520,"10,97",2,47.42,3,8
43,Justiniškės,Taikos g.,350,"8,33",2,42,3,5
44,Žirmūnai,Trinapolio g.,630,"11,19",2,56.29,2,8
45,Senamiestis,Gėlių g.,330,"7,33",1,45,1,3
46,Senamiestis,Šv. Stepono g.,330,"8,25",1,40,1,3
47,Naujamiestis,Gėlių g.,330,"7,33",1,45,1,3
48,Naujamiestis,Kauno g.,460,"10,45",2,44,7,9
49,Naujamiestis,Aguonų g.,270,"10,80",1,25,5,5
50,Naujamiestis,Gerosios Vilties g.,250,"10,87",1,23,5,5
51,Naujamiestis,Gerosios Vilties g.,200,"10,00",1,20,3,5
52,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
53,Senamiestis,Kauno g.,460,"10,45",2,44,7,11
54,Viršuliškės,Viršuliškių g.,300,"8,57",1,35,7,9
55,Jeruzalė,Kviečių g.,450,"7,03",2,64,4,10
56,Senamiestis,Gedimino pr.,299,"14,24",1,21,4,5
57,Senamiestis,Dzūkų g.,300,"8,82",1,34,3,9
58,Šiaurės miestelis,S. Žukausko g.,375,"7,98",2,47,3,9
59,Senamiestis,Žemaitijos g.,330,"8,25",2,40,3,3
60,Senamiestis,Subačiaus g.,550,"12,39",2,44.4,2,3
61,Baltupiai,Jurgio Lebedžio g.,330,"11,79",1,28,3,5
62,Senamiestis,Sodų g.,350,"6,36",3,55,1,4
63,Karoliniškės,Loretos Asanavičiūtės g.,600,"6,52",3,92,9,10
64,Baltupiai,Mykolo Marcinkevičiaus g.,540,"6,35",3,85,4,4
65,Užupis,Subačiaus g.,360,"8,00",2,45,3,9
66,Pašilaičiai,Ukmergės g.,350,"6,03",2,58,3,6
67,Baltupiai,Jurgio Lebedžio g.,420,"13,55",1,31,1,5
68,Antakalnis,Šilo g.,350,"11,29",1,31,1,5
69,Baltupiai,Trinapolio g.,450,"7,50",2,60,10,11
70,Šnipiškės,Linkmenų g.,410,"12,06",1,34,2,5
71,Naujininkai,Panevėžio g.,150,"10,00",1,15,4,5
72,Naujoji Vilnia,Eglinės Sodų 3-ioji g.,270,"4,74",2,57,1,1
