,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
0,Pašilaičiai,Budiniškių g.,74200,1599,2,46.41,1,5
1,Bajorai,Bajorų kel.,126700,1630,4,77.73,8,9
2,Viršuliškės,Viršuliškių g.,83900,1916,2,43.8,4,11
3,Bajorai,Bajorų kel.,48500,1911,1,25.38,1,6
4,Šnipiškės,Giedraičių g.,88000,1984,2,44.36,2,9
5,Šnipiškės,Giedraičių g.,67000,1936,1,34.61,7,10
6,Senamiestis,Didžioji g.,207000,2550,3,81.18,4,4
7,Šnipiškės,A. Juozapavičiaus g.,149000,2980,2,50,5,9
8,Pilaitė,Tolminkiemio g.,48000,1524,1,31.5,1,4
9,Pilaitė,Simono Grunau g.,115000,1223,4,94,2,2
10,Šnipiškės,Giedraičių g.,95000,1772,2,53.61,8,10
11,Šnipiškės,Giedraičių g.,61000,2286,1,26.69,3,9
12,Senamiestis,Rūdninkų g.,299000,3211,3,93.11,2,4
13,Naujamiestis,Savanorių pr.,165000,2463,3,67,2,9
14,Šiaurės miestelis,S. Žukausko g.,112000,1991,2,56.26,4,7
15,Antakalnis,Antakalnio g.,123000,2102,3,58.52,4,5
16,Antakalnis,Antakalnio g.,92500,2201,2,42.03,4,5
17,Antakalnis,Antakalnio g.,85200,2301,2,37.02,5,5
18,Justiniškės,Taikos g.,76400,1722,2,44.36,2,4
19,Pašilaičiai,Budiniškių g.,94400,2543,1,37.12,6,7
20,Justiniškės,Taikos g.,49990,1680,1,29.76,1,4
21,Naujoji Vilnia,Gerovės g.,46000,1361,1,33.79,5,5
22,Pilaitė,Tolminkiemio g.,127000,1887,3,67.3,4,4
23,Pilaitė,Tolminkiemio g.,109500,1825,3,60,4,4
24,Žirmūnai,Trinapolio g.,125000,2119,3,59,9,10
25,Naujamiestis,T. Ševčenkos g.,179000,2081,2,86,4,6
26,Lazdynėliai,Lazdynėlių g.,92500,2151,2,43,3,4
27,Naujamiestis,Pakalnės g.,199500,2267,4,88,3,3
28,Žirmūnai,Šeimyniškių g.,190000,1567,4,121.28,2,7
29,Antakalnis,Pylimėlių g.,119845,1890,3,63.42,1,3
30,Lazdynėliai,Lazdynėlių g.,59500,1919,1,31,3,4
31,Lazdynėliai,Lazdynėlių g.,75000,1786,2,42,4,4
32,Karoliniškės,Sausio 13-osios g.,121000,2077,3,58.26,5,7
33,Karoliniškės,Sausio 13-osios g.,99999,1943,2,51.47,2,7
34,Lazdynai,Miškinių g.,195000,1500,4,130,1,2
35,Karoliniškės,Miškinių g.,195000,1500,4,130,1,2
36,Senamiestis,Pakalnės g.,199500,2217,3,90,2,2
37,Pašilaičiai,Perkūnkiemio g.,97000,1405,2,69.06,1,9
38,Žirmūnai,Žirmūnų g.,77900,1759,2,44.28,3,5
39,Pašilaičiai,Budiniškių g.,114100,1549,4,73.65,1,5
40,Bajorai,Bajorų kel.,70200,1799,2,39.03,1,9
41,Lazdynėliai,Lazdynėlių g.,52000,1660,1,31.32,4,4
42,Žirmūnai,Piromonto g.,103900,2225,2,46.69,1,6
43,Žirmūnai,M. Katkaus g.,71665,2348,1,30.52,7,7
44,Pilaitė,Karaliaučiaus g.,85500,1450,3,58.97,2,6
45,Pašilaičiai,Perkūnkiemio g.,104900,1748,3,60,8,9
46,Justiniškės,Taikos g.,113500,1729,4,65.64,3,4
47,Justiniškės,Taikos g.,98600,1580,3,62.42,1,4
48,Šiaurės miestelis,Ulonų g.,165999,1874,3,88.56,3,6
49,Justiniškės,Laisvės pr.,65000,1403,2,46.34,2,5
50,Žvėrynas,Liepyno g.,289000,3568,3,81,6,9
51,Žirmūnai,Verkių g.,57000,1629,2,35,4,5
52,Pilaitė,Tvankstos g.,90000,2045,2,44,2,5
53,Naujininkai,Šumsko g.,118000,1073,4,110,2,2
54,Senamiestis,A. Strazdelio g.,350000,2646,5,132.29,4,4
55,Užupis,Polocko g.,144000,3556,2,40.5,3,4
56,Užupis,Polocko g.,226000,3378,3,66.91,2,4
57,Naujininkai,Dariaus ir Girėno g.,49000,1815,1,27,4,9
58,Karoliniškės,Dariaus Gerbutavičiaus g.,65000,833,4,78,1,5
59,Antakalnis,Žolyno g.,28000,1568,1,17.86,1,5
